id,peak_id,Chr,Start,End,Strand,Length,PCF_logFC,BSF_logFC,logCPM,mean_bsf_b,mean_bsf_g,mean_pcf_b,mean_pcf_g,closest_genome,closest_gene,closest_orient
16,NA_peak_17,11L3_v3,59950,60927,.,978,-1.329,-6.64,4.687,0.274,60.166,22.049,31.987,Tb07.11L3.100,Tb07.11L3.100,-
17,NA_peak_18,11L3_v3,61148,63402,.,2255,0.25,-1.387,7.333,19.695,123.214,341.961,254.816,Tb07.11L3.100,Tb07.11L3.100,-
18,NA_peak_19,5K5_v5.1,111,1234,.,1124,-1.123,-3.46,7.071,2.4,75.061,166.303,420.221,Tb05.5K5.20,Tb05.5K5.20,-
19,NA_peak_20,5K5_v5.1,2041,3456,.,1416,1.622,6.542,6.894,299.81,5.805,22.621,8.988,Tb05.5K5.20,Tb05.5K5.20,-
20,NA_peak_21,5K5_v5.1,10765,13021,.,2257,1.1,1.131,6.5,61.829,57.172,189.71,90.998,Tb05.5K5.50,Tb05.5K5.50,-
21,NA_peak_22,5K5_v5.1,14101,14747,.,647,2.605,-1.133,4.356,7.465,50.861,19.727,6.391,Tb05.5K5.70,Tb05.5K5.70,-
22,NA_peak_23,5K5_v5.1,14838,15410,.,573,2.607,-1.639,4.026,0.069,43.91,14.743,5.086,Tb05.5K5.80,Tb05.5K5.80,-
23,NA_peak_24,5K5_v5.1,20248,21856,.,1609,0.24,-0.096,5.409,29.919,50.345,55.105,47.478,Tb05.5K5.110,Tb05.5K5.110,-
24,NA_peak_25,5K5_v5.1,24330,26068,.,1739,0.556,6.111,7.416,320.672,9.93,66.734,29.711,Tb05.5K5.120,Tb05.5K5.120,-
25,NA_peak_26,5K5_v5.1,30949,31914,.,966,1.367,-1.453,5.531,10.398,187.066,15.691,4.653,Tb05.5K5.160,Tb05.5K5.160,-
26,NA_peak_27,5K5_v5.1,32634,33070,.,437,1.363,0.251,3.01,3.466,11.245,14.57,6.591,Tb05.5K5.160,Tb05.5K5.160,-
27,NA_peak_28,5K5_v5.1,34597,35689,.,1093,-0.132,-1.013,5.399,8.998,36.508,67.243,75.576,Tb05.5K5.170,Tb05.5K5.170,-
28,NA_peak_29,5K5_v5.1,38490,39931,.,1442,0.009,-2.152,5.844,3.5,88.279,72.677,37.077,Tb05.5K5.180,Tb05.5K5.180,+
29,NA_peak_30,5K5_v5.1,41354,42918,.,1565,0.021,-5.959,6.32,3.414,350.552,11.836,21.821,Tb05.5K5.180,Tb05.5K5.180,+
30,NA_peak_31,5K5_v5.1,46388,47659,.,1272,-0.432,-2.228,5.398,4.804,56.588,59.664,69.033,Tb05.5K5.180,Tb05.5K5.180,+
31,NA_peak_32,5K5_v5.1,49026,49490,.,465,0.051,-4.679,4.103,0.747,68.925,4.153,6.492,Tb05.5K5.190,Tb05.5K5.190,+
32,NA_peak_33,5K5_v5.1,52969,54187,.,1219,-0.249,-1.838,5.316,6.656,55.164,55.996,59.456,Tb05.5K5.190,Tb05.5K5.190,+
33,NA_peak_34,5K5_v5.1,55077,56184,.,1108,0.738,-1.855,5.167,4.747,38.166,72.481,45.769,Tb05.5K5.200,Tb05.5K5.200,+
34,NA_peak_35,5K5_v5.1,56373,57779,.,1407,-0.737,-3.35,6.188,1.133,26.478,129.918,180.7,Tb05.5K5.200,Tb05.5K5.200,+
35,NA_peak_36,5K5_v5.1,61680,62309,.,630,-0.498,5.712,5.894,120.551,2.738,10.106,20.276,Tb05.5K5.210,Tb05.5K5.210,+
36,NA_peak_37,5K5_v5.1,64277,65452,.,1176,0.114,-2.97,4.45,1.098,34.039,19.346,29.41,Tb05.5K5.220,Tb05.5K5.220,+
37,NA_peak_38,5K5_v5.1,68355,69198,.,844,-1.24,6.114,7.258,273.267,2.884,17.719,118.578,Tb05.5K5.220,Tb05.5K5.220,+
38,NA_peak_39,5K5_v5.1,69413,70109,.,697,0.799,-2.429,5.046,9.333,111.423,15.816,11.397,Tb05.5K5.230,Tb05.5K5.230,+
39,NA_peak_40,5K5_v5.1,71510,72129,.,620,-2.528,-3.943,4.316,2.402,82.869,1.179,18.74,Tb05.5K5.240,Tb05.5K5.240,+
40,NA_peak_41,5K5_v5.1,74220,75278,.,1059,-0.394,-3.672,6.906,2.667,88.02,203.194,274.898,Tb05.5K5.250,Tb05.5K5.250,+
41,NA_peak_42,5K5_v5.1,75825,76346,.,522,-0.624,-4.373,4.345,1.8,88.154,2.537,1.271,Tb05.5K5.260,Tb05.5K5.260,+
42,NA_peak_43,5K5_v5.1,79558,82036,.,2479,0.272,1.551,7.044,86.944,60.088,210.406,204.316,Tb05.5K5.280,Tb05.5K5.280,+
43,NA_peak_44,5K5_v5.1,83922,84723,.,802,0.293,-7.405,6.235,0.892,382.972,0.45,0.301,Tb05.5K5.280,Tb05.5K5.280,+
44,NA_peak_45,5K5_v5.1,85092,85845,.,754,-0.248,0.242,6.242,44.54,81.619,79.944,102.886,Tb05.5K5.290,Tb05.5K5.290,-
45,NA_peak_46,5K5_v5.1,86473,87454,.,982,-0.72,-1.73,5.711,12.283,81.218,54.888,91.106,Tb05.5K5.290,Tb05.5K5.290,-
46,NA_peak_47,5K5_v5.1,87616,88250,.,635,-0.774,3.163,6.517,240.933,53.98,6.754,7.827,Tb05.5K5.300,Tb05.5K5.300,-
47,NA_peak_48,5K5_v5.1,89754,90362,.,609,0.147,1.636,5.364,47.624,39.586,24.957,23.381,Tb05.5K5.310,Tb05.5K5.310,-
48,NA_peak_49,5K5_v5.1,91365,92194,.,830,-0.911,4.828,5.723,118.854,7.329,8.133,16.916,Tb05.5K5.320,Tb05.5K5.320,-
49,NA_peak_50,5K5_v5.1,94202,94950,.,749,-2.348,3.583,4.049,17.797,3.962,6.651,9.594,Tb05.5K5.320,Tb05.5K5.320,-
50,NA_peak_51,5K5_v5.1,101467,101952,.,486,-1.327,2.533,2.424,7.865,2.811,2.076,5.346,Tb05.5K5.350,Tb05.5K5.350,-
51,NA_peak_52,5K5_v5.1,104920,106492,.,1573,-1.898,1.542,4.048,25.39,14.197,4.049,16.555,Tb05.5K5.370,Tb05.5K5.370,-
52,NA_peak_53,5K5_v5.1,108159,108534,.,376,-1.116,-2.619,1.843,0.48,5.613,4.467,5.23,Tb05.5K5.370,Tb05.5K5.370,-
53,NA_peak_54,5K5_v5.1,108646,109412,.,767,-2.025,-0.059,3.247,4.941,9.674,7.891,20.51,Tb05.5K5.380,Tb05.5K5.380,-
54,NA_peak_55,5K5_v5.1,113038,114030,.,993,0.284,-1.473,5.053,9.401,46.11,56.515,43.296,transcript-p1-CDS1,transcript-p1-CDS1,-
55,NA_peak_56,5K5_v5.1,114959,115259,.,301,1.215,-1.9,2.362,0.343,3.103,17.079,3.354,Tb05.5K5.390,Tb05.5K5.390,-
56,NA_peak_57,5K5_v5.1,116772,117095,.,324,1.537,0.757,3.314,8.641,9.492,17.761,4.918,transcript-p1-CDS1,transcript-p1-CDS1,-
57,NA_peak_58,5K5_v5.1,118536,119494,.,959,-5.365,4.572,5.167,81.111,4.965,1.001,34.336,transcript-p1-CDS1,transcript-p1-CDS1,-
58,NA_peak_59,5K5_v5.1,119613,120883,.,1271,-3.722,2.152,6.269,110.276,41.51,11.836,95.687,Tb05.5K5.400,Tb05.5K5.400,-
59,NA_peak_60,5K5_v5.1,121822,122729,.,908,-1.969,3.636,5.963,92.782,16.283,15.652,79.012,Tb05.5K5.410,Tb05.5K5.410,-
60,NA_peak_61,5K5_v5.1,124562,125636,.,1075,0.71,-4.033,5.069,2.0,63.951,40.284,35.399,Tb05.5K5.430,Tb05.5K5.430,-
61,NA_peak_62,5K5_v5.1,127244,127818,.,575,1.986,-1.35,3.75,4.161,18.06,17.153,9.34,Tb05.5K5.440,Tb05.5K5.440,-
62,NA_peak_63,5K5_v5.1,130743,131165,.,423,-0.318,1.035,3.096,5.227,6.077,7.371,5.253,Tb05.5K5.450,Tb05.5K5.450,-
63,NA_peak_64,5K5_v5.1,131377,132530,.,1154,0.669,-4.214,5.085,1.733,64.942,40.872,35.466,Tb05.5K5.450,Tb05.5K5.450,-
64,NA_peak_65,5K5_v5.1,134033,134683,.,651,2.128,-1.321,3.832,4.961,20.569,18.225,9.311,Tb05.5K5.460,Tb05.5K5.460,-
65,NA_peak_66,5K5_v5.1,138339,138882,.,544,0.174,-0.916,5.171,22.51,96.71,15.954,17.312,Tb05.5K5.470,Tb05.5K5.470,-
66,NA_peak_67,5K5_v5.1,139243,141219,.,1977,-2.001,1.497,8.116,342.425,286.979,61.787,222.355,Tb05.5K5.470,Tb05.5K5.470,-
67,NA_peak_68,5K5_v5.1,143319,144904,.,1586,-0.329,1.616,7.208,146.852,112.336,104.343,162.166,Tb05.5K5.480,Tb05.5K5.480,-
68,NA_peak_69,5K5_v5.1,145779,146451,.,673,-1.874,1.242,5.869,100.532,87.524,4.534,21.063,Tb05.5K5.490,Tb05.5K5.490,-
69,NA_peak_70,5K5_v5.1,147514,149405,.,1892,-2.664,1.561,7.97,322.73,246.905,25.298,293.552,Tb05.5K5.510,Tb05.5K5.510,-
70,NA_peak_71,5K5_v5.1,152045,153068,.,1024,-0.89,-7.464,5.201,0.467,188.585,5.861,12.949,Tb05.5K5.530,Tb05.5K5.530,-
71,NA_peak_72,5K5_v5.1,155584,156937,.,1354,-3.086,-1.656,5.649,14.822,81.267,18.1,102.922,Tb05.5K5.540,Tb05.5K5.540,-
72,NA_peak_73,5K5_v5.1,157284,158301,.,1018,-0.982,-3.115,5.058,5.696,114.399,10.763,20.31,Tb05.5K5.540,Tb05.5K5.540,-
73,NA_peak_74,5K5_v5.1,158411,158740,.,330,0.469,7.759,7.146,277.645,3.413,2.573,1.082,Tb05.5K5.540,Tb05.5K5.540,-
74,NA_peak_75,FM162566.1,2558,4241,.,1684,-0.023,1.489,9.017,626.246,459.28,382.649,413.08,FM162566.1,FM162566.1,+
75,NA_peak_76,FM162566.1,4855,6636,.,1782,0.005,2.759,9.657,1362.872,418.585,382.004,394.38,FM162566.1,FM162566.1,+
76,NA_peak_77,FM162566.1,7099,7599,.,501,-0.503,3.357,8.134,505.97,101.514,65.859,112.121,FM162566.1,FM162566.1,+
77,NA_peak_78,FM162566.1,9098,10394,.,1297,-0.779,-2.114,7.496,43.9,279.653,188.936,333.953,FM162566.1,FM162566.1,+
78,NA_peak_79,FM162566.1,10745,11903,.,1159,-0.65,-3.783,7.176,6.932,247.188,185.998,223.005,FM162566.1,FM162566.1,+
79,NA_peak_80,FM162566.1,14585,15047,.,463,0.477,2.867,6.776,207.427,60.932,34.02,25.68,FM162566.1,FM162566.1,+
80,NA_peak_81,FM162566.1,15631,17345,.,1715,0.561,-1.478,8.393,57.162,342.813,673.713,484.998,FM162566.1,FM162566.1,+
81,NA_peak_82,FM162566.1,17436,17995,.,560,0.356,-1.148,5.957,18.048,79.288,86.208,68.276,FM162566.1,FM162566.1,+
82,NA_peak_83,FM162566.1,24004,25053,.,1050,-0.551,-1.736,7.273,22.371,153.041,262.409,267.836,FM162566.1,FM162566.1,+
83,NA_peak_84,FM162566.1,29275,29847,.,573,0.064,2.392,6.851,204.694,80.995,41.772,36.216,FM162566.1,FM162566.1,+
84,NA_peak_85,FM162566.1,30519,32864,.,2346,0.425,-1.986,9.196,120.157,924.931,863.221,703.038,FM162566.1,FM162566.1,+
85,NA_peak_86,FM162566.1,37031,37658,.,628,-1.543,-3.514,5.003,2.999,39.388,15.193,49.464,FM162566.1,FM162566.1,+
86,NA_peak_87,FM162566.1,38371,38950,.,580,0.976,-0.761,5.162,10.508,41.619,72.901,19.507,FM162566.1,FM162566.1,+
87,NA_peak_88,FM162566.1,42590,43479,.,890,0.892,2.703,7.97,434.677,141.175,113.419,54.245,FM162566.1,FM162566.1,+
88,NA_peak_89,FM162566.1,43565,45943,.,2379,0.278,2.804,8.945,702.623,209.688,348.329,293.433,FM162566.1,FM162566.1,+
89,NA_peak_90,FM162566.1,47816,50025,.,2210,-0.507,1.633,8.291,371.383,269.504,213.669,274.797,FM162566.1,FM162566.1,+
90,NA_peak_91,FM162566.1,52885,54400,.,1516,-2.248,0.442,6.779,91.582,151.668,34.546,177.235,FM162566.1,FM162566.1,+
91,NA_peak_92,FM162566.1,55253,55759,.,507,-2.369,1.128,5.614,48.79,55.772,13.151,66.075,FM162566.1,FM162566.1,+
92,NA_peak_93,FM162566.1,58468,59042,.,575,0.234,6.942,7.138,270.783,4.953,32.157,28.273,FM162566.1,FM162566.1,+
93,NA_peak_94,FM162567.1,2367,4298,.,1932,-0.159,0.361,8.741,326.985,524.948,384.683,443.484,.,.,.
94,NA_peak_95,FM162567.1,4836,5556,.,721,-0.248,3.174,7.97,465.911,93.44,88.398,120.586,.,.,.
95,NA_peak_96,FM162567.1,5865,6610,.,746,-0.186,1.437,7.588,222.379,173.305,137.601,153.442,.,.,.
96,NA_peak_97,FM162567.1,8235,8843,.,609,-0.178,2.343,8.005,402.195,161.44,127.98,156.605,.,.,.
97,NA_peak_98,FM162567.1,9591,9938,.,348,-1.058,2.479,7.097,209.56,58.852,30.801,85.227,.,.,.
98,NA_peak_99,FM162567.1,11298,12865,.,1568,-0.14,-2.102,7.694,50.369,355.071,247.343,299.49,.,.,.
99,NA_peak_100,FM162567.1,13177,14218,.,1042,-0.618,-4.21,7.282,4.941,238.618,197.62,261.921,.,.,.
100,NA_peak_101,FM162567.1,17014,17827,.,814,0.345,3.742,8.158,539.439,84.454,113.895,86.96,.,.,.
101,NA_peak_102,FM162567.1,17943,20006,.,2064,0.161,-1.105,7.91,69.446,320.317,360.372,329.98,.,.,.
102,NA_peak_103,FM162567.1,26315,27362,.,1048,-0.022,-1.518,6.821,33.213,210.562,138.298,129.553,.,.,.
103,NA_peak_104,FM162567.1,28647,29113,.,467,-1.468,-2.758,4.783,4.186,36.515,17.563,51.895,.,.,.
104,NA_peak_105,FM162567.1,31353,33480,.,2128,0.355,2.436,8.502,493.106,193.676,303.791,241.737,.,.,.
105,NA_peak_106,FM162567.1,33954,34477,.,524,1.123,3.571,6.071,85.16,16.69,75.688,34.516,.,.,.
106,NA_peak_107,FM162567.1,37539,39497,.,1959,-1.729,0.686,8.184,279.979,396.151,96.237,343.866,.,.,.
107,NA_peak_108,FM162567.1,42707,44265,.,1559,0.775,1.483,9.075,450.093,337.423,821.385,465.279,.,.,.
108,NA_peak_109,FM162567.1,45601,46128,.,528,0.474,-3.287,5.848,4.941,129.192,77.712,54.906,.,.,.
109,NA_peak_110,FM162567.1,50284,50845,.,562,-0.778,6.602,6.379,149.528,3.83,16.367,28.06,.,.,.
110,NA_peak_111,FM162567.1,51088,51732,.,645,-0.734,1.161,5.917,92.494,81.911,3.551,6.204,.,.,.
111,NA_peak_112,GTRYP_4071_4094-1a01.w2k4071,322,1340,.,1019,-0.004,0.051,6.443,50.712,106.86,100.328,100.396,.,.,.
112,NA_peak_113,GTRYP_4071_4094-1a01.w2k4071,2421,3729,.,1309,0.044,-3.17,5.696,5.387,113.65,64.539,68.791,.,.,.
113,NA_peak_114,GTRYP_4071_4094-1a01.w2k4071,8051,9252,.,1202,-1.264,-4.105,4.401,0.823,24.388,0.097,32.28,.,.,.
114,NA_peak_115,GTRYP_4071_4094-1a01.w2k4071,10816,11899,.,1084,-3.546,-0.263,4.975,32.801,76.74,1.644,29.792,.,.,.
115,NA_peak_116,GTRYP_4071_4094-1a01.w2k4071,13505,13825,.,321,0.25,-0.341,2.734,3.733,8.949,5.11,5.755,.,.,.
116,NA_peak_117,GTRYP_4071_4094-1a01.w2k4071,15449,16448,.,1000,0.18,-2.482,4.736,4.399,56.189,33.254,31.631,.,.,.
117,NA_peak_118,GTRYP_4071_4094-1a01.w2k4071,16503,16961,.,459,0.058,-5.518,2.673,0.137,17.696,5.585,5.728,.,.,.
118,NA_peak_119,GTRYP_4071_4094-1a01.w2k4071,17776,18308,.,533,0.026,0.019,5.257,26.694,53.156,41.633,39.963,.,.,.
119,NA_peak_120,L25589.1,1,681,.,681,-1.261,1.186,2.827,6.028,5.745,4.984,9.987,.,.,.
120,NA_peak_121,M15321.1,82,1001,.,920,-1.031,1.502,3.021,8.784,6.118,5.811,9.664,.,.,.
121,NA_peak_122,M94286.1,1291,3290,.,2000,-6.508,-5.025,5.733,1.6,114.636,1.004,130.6,.,.,.
122,NA_peak_123,M94286.1,4253,4751,.,499,3.585,-2.623,5.48,0.755,10.66,155.94,15.993,.,.,.
123,NA_peak_124,M94286.1,4954,6600,.,1647,-2.344,-4.38,6.35,2.999,168.566,16.819,228.306,.,.,.
124,NA_peak_125,M94286.1,6920,9701,.,2782,-8.775,-2.196,7.308,21.176,254.317,0.796,378.731,.,.,.
125,NA_peak_126,M94286.1,12770,13529,.,760,-2.253,-8.219,5.921,0.549,282.136,1.291,1.298,.,.,.
126,NA_peak_127,M94286.1,14195,15966,.,1772,-3.209,-5.135,7.225,5.421,326.227,29.735,344.952,.,.,.
127,NA_peak_128,M94286.1,21258,22955,.,1698,-0.591,2.406,0.221,0.933,0.291,0.715,1.443,.,.,.
128,NA_peak_129,TP26M21-2a10.p1k,1375,3514,.,2140,-0.363,-2.994,6.931,8.852,187.47,158.203,235.736,Tb09.v4.0009,Tb09.v4.0009,+
129,NA_peak_130,TP26M21-2a10.p1k,5146,6102,.,957,0.657,-3.992,4.793,1.547,35.669,52.889,37.274,Tb09.v4.0009,Tb09.v4.0009,+
130,NA_peak_131,TP26M21-2a10.p1k,6907,7894,.,988,1.865,-1.416,5.007,6.881,69.729,33.258,12.079,Tb09.v4.0010,Tb09.v4.0010,+
131,NA_peak_132,TP26M21-2a10.p1k,12680,12993,.,314,2.668,0.738,0.531,1.304,1.42,0.465,0.117,Tb09.v4.0011,Tb09.v4.0011,+
132,NA_peak_133,TP26M21-2a10.p1k,14036,14725,.,690,-1.895,0.874,2.154,5.421,4.953,1.523,4.833,Tb09.v4.0011,Tb09.v4.0011,+
133,NA_peak_134,TP26M21-2a10.p1k,14973,15368,.,396,-1.488,1.289,0.45,1.654,1.332,0.415,1.262,Tb09.v4.0011,Tb09.v4.0011,+
134,NA_peak_135,TP26M21-2a10.p1k,16535,16850,.,316,-4.529,-9.253,-0.12,0.0,3.578,0.0,0.577,Tb09.v4.0011,Tb09.v4.0011,+
135,NA_peak_136,TP26M21-2a10.p1k,21053,21379,.,327,1.794,0.096,-0.817,0.467,0.627,0.065,0.033,Tb09.v4.0012,Tb09.v4.0012,+
136,NA_peak_137,TP26M21-2a10.p1k,26930,28284,.,1355,-0.346,-1.781,4.476,4.46,41.269,18.654,23.588,Tb09.v4.0013,Tb09.v4.0013,-
137,NA_peak_138,TP26M21-2a10.p1k,29837,31293,.,1457,-0.08,1.352,6.226,94.836,72.535,52.46,58.032,Tb09.v4.0013,Tb09.v4.0013,-
138,NA_peak_139,TP26M21-2a10.p1k,36817,39591,.,2775,0.25,-1.844,4.818,3.362,21.321,50.735,65.462,Tb09.v4.0015,Tb09.v4.0015,-
139,NA_peak_140,TP26P4-1a02.q1ka,959,1811,.,853,-0.119,-1.167,0.308,0.137,0.657,2.389,1.046,Tb09.v4.0016,Tb09.v4.0016,-
140,NA_peak_141,TP26P4-1a02.q1ka,7234,9199,.,1966,-1.082,-1.714,7.524,10.156,99.933,271.707,502.851,Tb09.v4.0017,Tb09.v4.0017,+
141,NA_peak_142,TP26P4-1a02.q1ka,13865,15266,.,1402,-2.082,-5.884,3.775,0.267,27.997,8.104,26.934,Tb09.v4.0020,Tb09.v4.0020,+
142,NA_peak_143,TP26P4-1a02.q1ka,15334,15859,.,526,-3.327,-1.712,1.317,0.137,1.57,1.073,8.097,Tb09.v4.0020,Tb09.v4.0020,+
143,NA_peak_144,TP26P4-3b07.q1k,3833,6137,.,2305,-1.117,3.162,8.166,576.289,139.39,47.171,93.847,transcript-p1-CDS1,transcript-p1-CDS1,-
144,NA_peak_145,TP26P4-3b07.q1k,11325,12436,.,1112,-1.806,3.887,5.693,108.423,14.276,5.263,18.394,Tb09.v4.0024,Tb09.v4.0024,-
145,NA_peak_146,TP26P4-3b07.q1k,13664,14815,.,1152,-1.115,-3.117,5.356,5.627,118.829,22.772,47.068,Tb09.v4.0025,Tb09.v4.0025,-
146,NA_peak_147,TP26P4-3b07.q1k,16867,17549,.,683,-0.112,-1.668,5.728,18.185,130.732,42.714,44.969,Tb09.v4.0025,Tb09.v4.0025,-
147,NA_peak_148,TP26P4-3b07.q1k,17674,18218,.,545,0.312,-0.654,5.404,17.773,58.478,59.341,51.784,Tb09.v4.0025,Tb09.v4.0025,-
148,NA_peak_149,TP26P4-3b07.q1k,19452,20154,.,703,0.117,-3.546,5.841,4.666,132.342,72.384,65.971,Tb09.v4.0025,Tb09.v4.0025,-
149,NA_peak_150,TP26P4-3b07.q1k,28916,29863,.,948,-1.601,-4.095,5.49,3.911,136.066,13.774,61.964,transcript-p1-CDS2,transcript-p1-CDS2,-
150,NA_peak_151,TP26P4-3b07.q1k,31475,32302,.,828,-0.779,7.421,7.66,480.63,6.243,5.789,8.079,Tb09.v4.0029,Tb09.v4.0029,-
151,NA_peak_152,TP26P4-3b07.q1k,33443,35168,.,1726,-1.112,0.741,6.68,54.941,64.843,107.253,211.788,Tb09.v4.0029,Tb09.v4.0029,-
152,NA_peak_153,TP26P4-3b07.q1k,37998,38870,.,873,-0.184,5.75,6.586,201.887,9.49,6.432,9.067,Tb09.v4.0031,Tb09.v4.0031,-
153,NA_peak_154,TP26P4-3b07.q1k,41184,42648,.,1465,-0.514,2.749,5.237,64.65,20.116,10.936,17.024,transcript-p1-CDS2,transcript-p1-CDS2,-
154,NA_peak_155,TP26P4-3b07.q1k,46008,47091,.,1084,-5.86,-1.721,4.053,0.343,11.363,0.311,58.501,Tb09.v4.0035,Tb09.v4.0035,-
155,NA_peak_156,TP26P4-3b07.q1k,48201,48588,.,388,-0.387,0.401,3.81,7.754,14.032,15.366,18.791,Tb09.v4.0035,Tb09.v4.0035,-
156,NA_peak_157,TP26P4-3b07.q1k,48803,49948,.,1146,0.886,-0.628,4.798,13.175,47.84,28.231,18.904,Tb09.v4.0036,Tb09.v4.0036,-
157,NA_peak_158,TP26P4-3b07.q1k,50011,50772,.,762,1.412,-2.241,5.354,1.578,12.909,142.38,37.149,Tb09.v4.0036,Tb09.v4.0036,-
158,NA_peak_159,TP26P4-3b07.q1k,52767,53132,.,366,3.472,-0.101,3.266,2.47,4.121,0.643,2.644,Tb09.v4.0036,Tb09.v4.0036,-
159,NA_peak_160,TP26P4-3b07.q1k,54521,55810,.,1290,0.107,-0.354,5.931,30.88,83.242,79.148,72.903,Tb09.v4.0036,Tb09.v4.0036,-
160,NA_peak_161,TP26P4-5g04.p1k,558,957,.,400,0.093,-2.633,3.717,1.654,23.433,17.442,17.265,Tb09.v4.0037,Tb09.v4.0037,-
161,NA_peak_162,TP26P4-5g04.p1k,1364,1832,.,469,-0.09,-3.048,3.406,1.266,22.559,11.178,13.551,Tb09.v4.0037,Tb09.v4.0037,-
162,NA_peak_163,TP26P4-5g04.p1k,3153,4252,.,1100,-0.143,-0.722,5.898,20.038,72.601,79.81,86.157,Tb09.v4.0037,Tb09.v4.0037,-
163,NA_peak_164,TP26P4-5g04.p1k,4620,5303,.,684,-4.416,2.59,3.964,2.333,0.624,0.658,51.627,Tb09.v4.0037,Tb09.v4.0037,-
164,NA_peak_165,TP26P4-5g04.p1k,7905,8863,.,959,-1.82,1.899,4.704,30.125,17.993,8.394,33.759,transcript-p1-CDS2,transcript-p1-CDS2,-
165,NA_peak_166,TP26P4-5g04.p1k,10437,11181,.,745,1.801,-0.91,3.338,3.841,6.784,15.402,7.872,Tb09.v4.0039,Tb09.v4.0039,-
166,NA_peak_167,TP26P4-6c09.p1k,5199,6267,.,1069,-3.308,-0.906,4.867,16.93,82.764,2.859,26.801,Tb09.v4.0042,Tb09.v4.0042,+
167,NA_peak_168,TP26P4-6c09.p1k,8321,9361,.,1041,-0.88,-0.98,5.712,27.518,76.0,45.587,70.406,Tb09.v4.0042,Tb09.v4.0042,+
168,NA_peak_169,TP26P4-6c09.p1k,9751,10812,.,1062,-0.72,-1.443,5.613,13.519,61.277,62.002,88.618,Tb09.v4.0042,Tb09.v4.0042,+
169,NA_peak_170,TP26P4-6c09.p1k,11398,12825,.,1428,0.069,-2.929,6.151,5.833,105.968,95.033,116.534,Tb09.v4.0043,Tb09.v4.0043,-
170,NA_peak_171,TP26P4-6c09.p1k,15311,16732,.,1422,-1.385,-0.226,5.501,22.396,61.224,29.303,64.091,Tb09.v4.0043,Tb09.v4.0043,-
171,NA_peak_172,TP26P4-6c09.p1k,20943,21394,.,452,-1.361,2.73,2.579,9.198,3.038,1.517,3.881,Tb09.v4.0044,Tb09.v4.0044,+
172,NA_peak_173,TP26P4-6c09.p1k,22095,22538,.,444,-1.517,0.609,1.896,3.706,4.527,1.142,3.907,Tb09.v4.0045,Tb09.v4.0045,+
